"","Harare","Huye","Iringa","Johanesburg","Jos","Kamembe","Kayonza","Kigali","Koulikoro","Lagos"
"16-JAN-1960",77.4,128.8,208.2,83,0,46.6,41.3,103,0,21.5
"15-FEB-1960",176.3,141.3,113.7,70.7,0,120.3,77.2,91.6,0.7,54.9
"16-MAR-1960",32.1,163.7,171.9,75.6,4.8,118.4,82.5,91.5,21.7,56.7
"16-APR-1960",81.5,201.6,76.6,78.7,169.8,164.6,139.6,146.1,149.9,234.8
"16-MAY-1960",35.5,31.1,3.5,5.7,100.2,145.3,110.8,39.6,176.9,197
"16-JUN-1960",6.9,3,0.7,2.3,193.1,128,64.2,4.7,191.8,287.4
"16-JUL-1960",0,0.6,0.4,1.2,262.8,118.5,60,2,293.7,56.3
"16-AUG-1960",0,9.9,0,9.4,251.8,203.3,201,29.2,252.4,78.1
"16-SEP-1960",1.7,74.8,8.7,2.2,247.5,113.1,127.5,67.3,325.3,165.8
"16-OCT-1960",26.8,113,3.5,60.9,31.2,222.1,167.8,99.1,201.6,211.7
"16-NOV-1960",77.8,142.2,5.6,145.1,0,105.3,104.9,92.2,28.4,52
"16-DEC-1960",216.1,95.5,34.1,135.1,0,68.9,40.1,79.5,0,39.3
"16-JAN-1961",147.3,81.6,71.7,94.8,0,53.7,12.4,59.3,0,17.8
"15-FEB-1961",150.3,140.9,156.3,75.1,0,60.6,44.6,84,0.7,2.2
"16-MAR-1961",103.1,152.5,88.1,75.6,0,106.5,89.3,112.5,3,123
"16-APR-1961",84.2,141.6,80.6,115,46.5,183.2,130.3,131.2,98.2,189.5
"16-MAY-1961",8.9,81.5,14.5,45.1,69,160.1,106.3,81.6,113.6,146.2
"16-JUN-1961",8.1,5.1,0.7,9.6,176.2,189.7,134.6,7.1,208.4,393.4
"16-JUL-1961",1.8,3.4,3.5,0.6,258.6,201.4,129.6,6.7,290.1,157.5
"16-AUG-1961",1.7,6.4,0.8,0.1,159.5,223.3,173.6,21.7,212.3,2.7
"16-SEP-1961",7.9,68.7,2.9,18.4,218.7,201,202.5,102,312.8,91.3
"16-OCT-1961",30.8,180.6,36.2,54.5,28.3,253.9,230.9,150.2,117.1,197.5
"16-NOV-1961",178.3,294.6,87.3,98.1,0,285.2,387.5,255.2,0.3,57.9
"16-DEC-1961",74.8,149.8,296.6,104.4,0,68.3,48.8,125.2,0,17.5
"16-JAN-1962",208.9,153.5,197.3,65.4,0,48.5,42.5,100.8,0,4.2
"15-FEB-1962",138.4,113.1,114.8,114.1,0,38.8,10.4,52.8,5.1,15.7
"16-MAR-1962",65.8,161.5,152.5,60.6,56.7,150.8,110.8,85.8,46.7,150.7
"16-APR-1962",60.7,153.4,87.4,66.7,80,163.7,176.1,98,109.2,118.7
"16-MAY-1962",1.1,169.5,12.7,0.4,115.1,193,162.3,131.8,170.1,250
"16-JUN-1962",0,29.2,0.1,0.3,229.5,186.4,113.5,30.1,242.8,407.9
"16-JUL-1962",0,2.2,0.4,0,183.1,100.1,66.3,3.7,198.9,279.5
"16-AUG-1962",0.1,84.8,5.6,2.8,289.2,155.4,164.6,56.8,273.3,187.5
"16-SEP-1962",0.7,97.2,2.2,12.6,323.7,259.7,208.7,115.9,321.5,46.7
"16-OCT-1962",1.4,213,18.1,27.4,150.9,242.9,199.6,180.5,151.7,164
"16-NOV-1962",139.7,173.3,8.6,169.4,0,126.2,129.9,140.3,54.1,97.9
"16-DEC-1962",358.7,131.5,105.2,59.9,0,75.5,59.5,114,0,24.1
"16-JAN-1963",175.8,151.5,174.9,110,0,105.5,92.6,117.6,0,23.4
"15-FEB-1963",342.2,126.3,117.2,39.6,1.2,116,82,100.6,8.7,28.5
"16-MAR-1963",70.8,197.7,171.4,42.5,20.4,160.2,125.3,109.3,31.5,66.7
"16-APR-1963",53.2,246.2,98.9,72.1,92.7,235.6,212.4,214.8,185,203.7
"16-MAY-1963",0,226.5,3.2,16.2,100.5,259.7,148.7,207.3,151,211.7
"16-JUN-1963",1.1,22.9,2,44.1,175.9,143.3,68.8,31.3,181.8,254.9
"16-JUL-1963",0,4.1,0.5,8.8,247.9,134,79.6,8.5,193.4,388
"16-AUG-1963",0,8.7,0.3,0,321.7,154.2,94.9,27.3,395.5,292.6
"16-SEP-1963",0,67.3,0.2,3.9,194.4,101.6,72.7,66.3,259.2,220
"16-OCT-1963",92.6,85.7,4.5,60.6,161.3,129.9,119,57.9,235.2,158.1
"16-NOV-1963",53.8,196.1,99.1,146.5,0,178.5,216.6,158,1.8,57.3
"16-DEC-1963",115.4,206.1,170.9,80.1,0,89.8,76.6,202,0,16.8
"16-JAN-1964",176.2,87.6,158.8,139,0,24.4,16.9,63.6,0,0.7
"15-FEB-1964",139.9,157.4,192.9,65.2,0,64.9,51.7,123.6,0.6,43.8
"16-MAR-1964",11,148.3,225.9,71.6,17.7,137.2,107.6,113.7,98.4,91.1
"16-APR-1964",7.1,251.3,65.8,40.5,63.5,183.8,149.5,206.7,177,151.9
"16-MAY-1964",9.3,43,5.2,7.4,119.4,143.3,73.1,40.5,176.8,252.2
"16-JUN-1964",1.2,27.8,0.2,13.4,178,135.3,63.5,30.5,196.9,367.6
"16-JUL-1964",0,15.7,0.3,0,253.3,131.5,93.8,28.1,271.3,118.8
"16-AUG-1964",3.5,23.5,1,3.4,260.5,199.6,192.6,34.8,163.6,44.5
"16-SEP-1964",0,36.4,0.3,14.8,283.6,187.4,173.3,75.5,341.8,65
"16-OCT-1964",27.2,127.7,4.9,140.8,57.6,228.7,213.7,102.8,169,127.4
"16-NOV-1964",77.8,151,3.5,35.9,0,68.7,59.7,111.9,14,25.1
"16-DEC-1964",301.8,130.4,95,125.2,0,98.5,86.7,99,0,15.7
"16-JAN-1965",258.4,72.2,131.1,84.8,0,26.1,20.6,27.3,0,21
"15-FEB-1965",94.4,101.1,149.8,63.3,3.9,53.4,22.5,59.1,3.6,42.7
"16-MAR-1965",35.3,214.9,124.1,28.8,8.8,143,119.9,140.2,21,130.7
"16-APR-1965",1.7,205.6,75.7,85.7,74.9,146.3,122.9,161,147.7,195.7
"16-MAY-1965",0.6,92.3,4.9,3.4,88.4,151.5,96.4,70.5,136,172.9
"16-JUN-1965",0,6.8,0.1,0.8,236.8,75.8,50.7,9.2,216.7,343
"16-JUL-1965",0,0.5,0.3,11.5,243.6,111.1,72.1,1.3,288.8,405.7
"16-AUG-1965",0,18.7,2.3,0.4,219.9,147.3,124,27.2,302.1,141.1
"16-SEP-1965",16.4,105.7,10.3,3.4,181.1,137.4,127.3,89.3,239.7,245.7
"16-OCT-1965",37.4,132.4,12.3,17.8,45.7,237.7,250.5,87.6,125.1,135.6
"16-NOV-1965",146.2,172.3,22.5,56.8,0,134.9,178,110.7,0.1,48.8
"16-DEC-1965",117.6,119.7,222.8,64.7,0,72.4,76.5,88.1,0,14.1
"16-JAN-1966",96.4,126,115.5,96.6,0,44.1,39.8,71.8,0,7.8
"15-FEB-1966",318,155.7,141.5,144.3,0,76.1,67.4,116.9,0.1,19.4
"16-MAR-1966",74.1,201.2,182.7,16.2,9.7,166.5,102.8,138,18.8,89.6
"16-APR-1966",72.7,211.7,79.4,33.5,134.9,204.3,196.9,129.6,170.4,125.8
"16-MAY-1966",27.4,48.4,11.8,15.5,156.9,100,44.1,47.6,208.2,239.7
"16-JUN-1966",4.8,19.2,1.2,7,217.9,117,50.3,15.1,203.8,272.9
"16-JUL-1966",0,0,0.2,0,162.8,149.1,97.6,0.9,180.8,200.2
"16-AUG-1966",1,54.3,1.1,1.7,278.5,220.7,131.2,64.2,311.8,55.5
"16-SEP-1966",4.4,81.2,10.2,13.1,283.7,161.9,185.5,89.7,250.6,103.7
"16-OCT-1966",2.2,103.1,7.4,115.5,68.5,170.5,158.6,86.5,152.3,181.9
"16-NOV-1966",68.6,163.2,52.6,74.3,0,108,112,132.1,6.8,59.6
"16-DEC-1966",113.3,94.4,79,146.4,0,27.9,16,62,0,14.9
"16-JAN-1967",204.9,95.2,112.7,197.8,0,20.2,8.4,36.2,0,11.1
"15-FEB-1967",195.5,85.7,94.3,111.3,0,27.7,9.5,31.2,5.4,11.9
"16-MAR-1967",123.1,145.6,141.1,159.5,6.2,75.9,40,103.4,7.1,78.3
"16-APR-1967",19.7,172.4,149.2,91.8,98.7,159.3,136.3,150.1,129.9,125.9
"16-MAY-1967",20.6,174,44.2,17.6,99.1,139.6,89.4,140.7,158.5,133.2
"16-JUN-1967",6.6,28.3,1.8,0,171.1,159.6,96.8,27.7,209.8,308.8
"16-JUL-1967",0.9,7.1,2,0.1,252,133.7,81.1,5.6,286.5,257.1
"16-AUG-1967",20.9,5.9,2.3,19.1,229.2,123.7,93.5,8.6,235.7,17.3
"16-SEP-1967",5.6,133.4,10.2,3.2,255.6,124.6,119.1,76.6,249.7,84.5
"16-OCT-1967",27.6,133.9,10.6,55.6,44.4,263.2,235.2,129.3,125.6,162.1
"16-NOV-1967",57.9,229.8,65.9,109.6,0,157.1,193.1,164.7,7.6,50.2
"16-DEC-1967",92.6,141.9,360.6,91.8,0,51.1,22.9,100.9,0,17.5
"16-JAN-1968",140.4,115.8,142.2,72.4,0,12.8,10.2,56.3,0,5
"15-FEB-1968",120.1,230.3,163.7,67.4,0.5,96.5,74.8,160.3,2.3,59.3
"16-MAR-1968",23.1,201.4,219.4,120,30,127.3,86.1,144.7,24.7,52.8
"16-APR-1968",45,192.7,165,72.7,149.6,173.2,127,156.9,108.5,183.1
"16-MAY-1968",3.3,110.9,12.1,19.5,161.9,112.3,102.4,85.8,181.6,144.6
"16-JUN-1968",0.6,40.4,2.1,0.3,206.7,141.7,72.3,63.9,189.4,345.7
"16-JUL-1968",0,5.7,0.1,0,268.1,126.8,68.9,8.3,245.7,576.4
"16-AUG-1968",0.9,2,1.2,11,286.6,126.9,111.8,6.9,308,428.2
"16-SEP-1968",0.6,58,4.5,1.3,148.6,125,123.4,69.6,293.8,392.1
"16-OCT-1968",1.5,142.2,3.9,24.8,35.8,186.5,176.7,93.5,117.1,210
"16-NOV-1968",134.8,171.5,41.6,91.6,0,104,106.3,135.3,7.5,41.6
"16-DEC-1968",187.3,116.2,129,68.8,0,143.1,115.3,64.4,0,12.1
"16-JAN-1969",223.4,160.6,93.7,55,0,82.4,89.1,102.2,0,18.4
"15-FEB-1969",64.3,163.8,125.2,75.1,0,113,83.2,153.7,12,19.6
"16-MAR-1969",138.3,148.6,100.5,139.1,15.4,145.5,102.8,97.6,84.4,135.9
"16-APR-1969",77.7,130.7,80.8,50.1,93.3,114.9,88.2,112.3,101.6,139.1
"16-MAY-1969",5,124.3,10.9,66.4,112.9,170.8,137,132.2,138.3,228.3
"16-JUN-1969",0,7.1,0.4,0,167.5,88.7,43.1,3,200.4,316.8
"16-JUL-1969",0,0.1,0.3,0.3,314.8,115.1,74,1.5,287.1,239.3
"16-AUG-1969",4.9,10.9,1,3.3,280.9,150.5,90.7,14.9,357,110.7
"16-SEP-1969",7.1,46.4,0.8,17.4,237.6,143.6,130.7,56.2,250.4,56.9
"16-OCT-1969",103.4,113.2,5.9,141,145.8,170.3,170.8,75.1,163,179.9
"16-NOV-1969",36.3,157,37.1,99.4,0,107.8,135.1,109.3,13.6,40.2
"16-DEC-1969",318.5,88.2,52,140.8,0,67.2,47.6,57.9,0,3.8
"16-JAN-1970",97.8,158.5,239.7,80.3,0,72.9,52.8,105,0,59.5
"15-FEB-1970",52.7,122.9,143.1,64.3,0,43.9,30.9,66.4,0.2,13.2
"16-MAR-1970",31.7,221.5,167.3,37,32.8,177.9,133.7,161.4,14.5,62.9
"16-APR-1970",80.5,246.5,42.2,44.7,25.5,155.6,161.9,173.7,101.3,132.1
"16-MAY-1970",0,85.1,4.6,21.7,120.8,154.4,139.1,76.8,173.1,250.5
"16-JUN-1970",1.7,8,0.1,4.4,121.7,164.7,84.9,6.4,211.5,264.7
"16-JUL-1970",0,8.8,0.1,7.9,185.8,155.6,106.6,10.4,193.9,177.1
"16-AUG-1970",0,29.5,1,1.9,336.3,230.5,168.4,45.4,310.8,19.7
"16-SEP-1970",8.9,53.7,7.3,20.6,247.8,171.8,130.9,63.9,227.6,232.8
"16-OCT-1970",12.7,111.2,1.6,65.7,43,175.7,136.6,76.3,99.8,240.2
"16-NOV-1970",259.4,147.7,7.5,77.6,0,45.8,50.9,112.6,0.1,48.8
"16-DEC-1970",126.4,121.4,158.1,106,0,22.4,14.9,65.9,0,0
"16-JAN-1971",164.5,104.1,101,165.5,0,18.3,17.6,85.2,0,37.5
"15-FEB-1971",131.8,115.4,108.3,80.6,0.3,31.6,15.1,62.9,10,64
"16-MAR-1971",44.4,157,118.6,75.1,16.5,109.6,73.8,111.4,29.3,70.9
"16-APR-1971",49.1,200,88.4,156.8,24,147,133.2,167.6,77.3,74.3
"16-MAY-1971",47.5,149.9,10.2,30.3,153.5,148.6,107.6,119.3,84.5,137.1
"16-JUN-1971",0.7,6.3,0.6,11.9,148.9,116.8,72.9,8.1,211.1,173.6
"16-JUL-1971",0,11,1.2,0.3,291.1,159.1,126.3,23.1,320.6,213.6
"16-AUG-1971",0,43.8,0.2,0,262.5,190,158,53,309.3,32.5
"16-SEP-1971",10,56.7,0.8,38.4,248.1,177.1,154.1,62.5,219.2,201.7
"16-OCT-1971",29.5,101.6,12.9,60.3,34,140.1,134.1,85.7,82.8,69.6
"16-NOV-1971",123.1,162.2,28.4,149.7,0,117.1,112.6,124.9,0.1,26.5
"16-DEC-1971",134.2,117.7,128.3,106.6,0,14.5,4.3,83.1,0,27.2
"16-JAN-1972",293.1,110.8,113.4,173.5,0,70.2,41.5,97.5,0,22.4
"15-FEB-1972",175,158.9,145.9,46.8,0.2,51.9,55.7,112.7,2.7,48.7
"16-MAR-1972",104.5,135,173.3,77.9,21.4,104.6,72.2,93.4,33,73.4
"16-APR-1972",69.7,111.9,80.4,29.7,68,149.3,160.9,113.6,137.7,149.4
"16-MAY-1972",18.4,116.4,21.9,9.2,214.9,125.8,137.1,125.4,182.8,185.4
"16-JUN-1972",0,61.7,0,3.5,146.9,173.4,92.1,88.7,179.4,311.6
"16-JUL-1972",2.4,0.3,0.3,0,203.5,113.1,67.6,0.2,219.7,51
"16-AUG-1972",0,30,5.6,3.5,333.8,204.3,164.3,41.7,283.3,31.9
"16-SEP-1972",20.4,66.4,11.9,7.1,159.4,162.1,163,68.2,239.7,117.5
"16-OCT-1972",18.4,133.3,12.8,64.2,52.8,214.9,187.3,90.6,162.2,69.4
"16-NOV-1972",101.8,201.3,59.5,108.2,0,156.9,198.4,150.4,0.6,11.7
"16-DEC-1972",70.7,120.7,131.1,79.5,0,30.9,41,99.7,0,19.5
"16-JAN-1973",150.7,113.1,170.9,90.2,0,37.5,24.5,55,0,10.5
"15-FEB-1973",60.1,115.3,121.2,39.3,0,68,34.9,91.6,7.9,29.3
"16-MAR-1973",56.6,108.4,100.8,93.9,10.1,69.7,37.5,97.9,18.2,84.9
"16-APR-1973",23.2,167.2,85.1,77.9,43.2,138.8,121.6,134.1,111.9,105.2
"16-MAY-1973",1.7,152.9,12.5,0.5,61,153.2,117.1,131.3,117.7,130.8
"16-JUN-1973",0,8.6,0.3,0,139.5,77.9,30.1,9.8,256.2,176.5
"16-JUL-1973",0.5,1.5,0.7,0,204.6,77.5,46.9,0.6,276.4,83.3
"16-AUG-1973",0.6,17.3,0.3,10.8,252.9,168.9,133.3,28.4,246.7,158.8
"16-SEP-1973",1.4,160.5,0.1,58.1,226.4,206.1,226.2,155.8,275,243.6
"16-OCT-1973",37.6,118.1,3.3,69.9,20.7,183.6,196.8,86.3,111.7,164.4
"16-NOV-1973",230,181.6,25.8,90.6,0,108.5,186.8,157.7,1.3,31
"16-DEC-1973",303.1,97,95.9,110.9,0,19.8,17.5,80.7,0,36
"16-JAN-1974",225.9,101.3,134.7,139.7,0,38.7,31.9,60.9,0,49.6
"15-FEB-1974",290,91,46.9,100.7,0,54.1,36.2,47.7,7.6,26.3
"16-MAR-1974",156,183,103.5,72.9,18,173.2,150.4,139.9,12.6,129.7
"16-APR-1974",17.5,209.3,143.7,98.8,60.9,111.7,95.2,140.1,142.8,114.9
"16-MAY-1974",28.3,139,52,7.2,116.6,209.2,146.9,74.5,139.3,183.1
"16-JUN-1974",0.9,55.6,1.1,0.7,153.2,229,134.5,70.3,133.2,238.6
"16-JUL-1974",8.8,16.2,2.9,1.2,279.7,173.3,119.7,35.7,265.5,217.6
"16-AUG-1974",8.2,12.4,1.2,0.8,245.9,203.4,169.7,21.2,230.8,36.7
"16-SEP-1974",3.2,68.4,1.8,13.7,263.7,197.2,168,67.6,278.8,209.9
"16-OCT-1974",10.8,75.8,9.7,58.8,70.7,136,140.9,65,195.7,97
"16-NOV-1974",182,139.5,10.1,135.3,0,81.4,105.8,112.1,19.2,13.3
"16-DEC-1974",249.9,101.1,66.8,124.8,0,22.9,19,84.8,0,1.9
"16-JAN-1975",143.1,103.1,139.2,178.6,0,36.2,26.7,53.6,0,0.9
"15-FEB-1975",291.5,111.2,79.8,133.9,2.4,88.7,61.7,54.7,1.6,73.4
"16-MAR-1975",39.6,142.5,141.5,71.8,13.4,125.1,121.9,109.9,111.1,40.4
"16-APR-1975",58.7,173.1,84.4,97.5,114.3,172.7,174.9,149.8,114.7,215.7
"16-MAY-1975",0,112.2,17.4,18.8,142.2,195.4,159.5,78.1,154.6,147.1
"16-JUN-1975",0.5,7.6,0.3,3.1,171.7,124.9,92.4,6.8,177.9,161.3
"16-JUL-1975",0,21.6,0.2,0.4,289.6,167.1,129.2,39.1,261.3,306.8
"16-AUG-1975",0,15.5,0.5,1.6,219.4,236.7,202.5,24.4,272.9,62.6
"16-SEP-1975",0.2,149.8,4.9,0,283,213.4,213,167.4,288.1,55.3
"16-OCT-1975",23.2,151.4,3.2,18.9,57.6,205.7,145.7,153.4,119.4,148.6
"16-NOV-1975",56.4,104.7,11.3,130,0,104.5,82.9,73.8,14.9,58.6
"16-DEC-1975",118.6,138.5,121.2,156.2,0,48.3,25.4,121.5,0,36.4
"16-JAN-1976",247.2,77.2,119.5,137.2,0,21.2,11.8,31.2,0,0.2
"15-FEB-1976",129.7,126.5,103.2,122.8,3.6,86.7,67.3,111.4,17.4,98.3
"16-MAR-1976",145.6,139.8,187,149.5,10.3,107.7,69.9,95,14.2,132.9
"16-APR-1976",36.6,210.9,67.2,71.7,102.8,175.6,190.2,126,95.5,184.9
"16-MAY-1976",14.3,102.2,14.7,71.3,150.7,200.1,142.9,117.2,169.4,101.9
"16-JUN-1976",0.1,11.6,2.2,0,177.3,122.3,74.3,11.4,223.4,317.5
"16-JUL-1976",0,5.9,0.7,0.5,184.3,223.4,163.3,17.6,223.4,62.2
"16-AUG-1976",0,56.1,1.8,0,242.5,230.5,155.2,71.4,286.1,18
"16-SEP-1976",0.2,76.9,1,19.8,179.8,143.3,130.7,117.7,236.3,60.8
